year,rgdpe_pc,rgdpe_x,country_x,rgdpna,emp_x,rnna,hc,TFP (alpha),TFP_hc (alpha),log_TFP (alpha),rgdpe_y,emp_y,labour_productivity,log_labour_productivity,country_y,csh_c,csh_g,csh_i,rgdpe,saving_y,investment_y,country,csh_x,csh_m,cda,cgdpe,pl_x,pl_m,xr,trade_share,domestic_absorption_ratio,import_export_price_ratio
1950,943.0547984000841,349636.46875,India,308114.25,155.78167724609375,708064.125,1.1305463314056396,1384.606901738681,0.0017528144330292708,7.233171552875934,349636.46875,155.78167724609375,2244.4004643605617,7.7161937107742125,India,0.8951540589332581,0.07053126394748688,0.0856076180934906,349636.46875,0.034314677119255066,0.0856076180934906,India,0.036188337951898575,-0.03964659199118614,377192.59375,358101.96875,0.09675958752632141,0.09838268160820007,4.762899879768715,-0.003458254039287567,1.0533105837609278,1.0167745039367508
1951,965.531202436812,364069.46875,India,313911.75,157.7427520751953,745595.1875,1.132678747177124,1373.5541678083323,0.0016380500430360184,7.225156942550422,364069.46875,157.7427520751953,2307.994909182576,7.744134421898771,India,0.8961787223815918,0.07133285701274872,0.10058768093585968,364069.46875,0.032488420605659485,0.10058768093585968,India,0.02950737066566944,-0.05163094028830528,397696.5,372592.21875,0.13214363157749176,0.10622324794530869,4.762899879768715,-0.02212356962263584,1.0673773632047971,0.803846895058406
1952,975.4773562245247,374281.375,India,329856.875,159.80816650390625,767845.875,1.1348152160644531,1437.0203621825494,0.0016503762236799082,7.270327055903858,374281.375,159.80816650390625,2342.066636443459,7.758788996546851,India,0.9000668525695801,0.07523174583911896,0.07854291051626205,374281.375,0.024701401591300964,0.07854291051626205,India,0.028360148891806602,-0.03187008202075958,405654.59375,383965.3125,0.11110348999500275,0.11239755153656006,4.762899879768715,-0.00350993312895298,1.0564876058953894,1.011647352766466
1953,1008.71658380702,394011.4375,India,348906.40625,161.9703826904297,798549.5,1.136955738067627,1510.643871159585,0.0016541838342074627,7.32029124366575,394011.4375,161.9703826904297,2432.6141048457303,7.7967217214268905,India,0.8887404799461365,0.07680051028728485,0.08668743073940277,394011.4375,0.034459009766578674,0.08668743073940277,India,0.027209235355257988,-0.02912084385752678,427577.625,404576.21875,0.09938249737024307,0.10860718041658401,4.762899879768715,-0.0019116085022687912,1.0568530852383424,1.0928199963820087
1954,1033.270067120218,411017.21875,India,362016.65625,164.21450805664062,850036.0,1.1391003131866455,1529.120967905353,0.0015595445212309295,7.3324483184996145,411017.21875,164.21450805664062,2502.9287826885097,7.825216838245727,India,0.8529669642448425,0.08593116700649261,0.11164233088493347,411017.21875,0.061101868748664856,0.11164233088493347,India,0.027781138196587563,-0.03326866403222084,444345.34375,421207.875,0.10244864970445633,0.104246586561203,4.762899879768715,-0.005487525835633278,1.054931234963259,1.017549639374783
1955,1036.4004731517846,419967.28125,India,370055.71875,166.5382843017578,910847.4375,1.1412489414215088,1510.4456278567393,0.001425174876950476,7.320160004056202,419967.28125,166.5382843017578,2521.7461739250502,7.832706866703716,India,0.837356686592102,0.08995813876390457,0.12340573221445084,419967.28125,0.07268517464399338,0.12340573221445084,India,0.02924865484237671,-0.03698844835162163,452497.4375,428490.5,0.10244861245155334,0.1038287952542305,4.763899807290334,-0.007739793509244919,1.0560267672212102,1.0134719521294622
1956,1057.3047482202508,436576.28125,India,380155.6875,168.94227600097656,982528.6875,1.1397825479507446,1497.9153109123554,0.0013046105244457168,7.311829627707556,436576.28125,168.94227600097656,2584.1742610800175,7.857161301127078,India,0.8379031419754028,0.08834487199783325,0.13787439465522766,436576.28125,0.07375198602676392,0.13787439465522766,India,0.028060071170330048,-0.048719000071287155,475779.6875,442573.03125,0.10448865592479706,0.10581005364656448,4.761899952247097,-0.020658928900957108,1.0750309076814089,1.0126463271067287
1957,1035.9349786567302,436011.90625,India,380399.84375,171.4302978515625,1041876.9375,1.1383181810379028,1440.8545360007386,0.0011782001758497702,7.272991644339702,436011.90625,171.4302978515625,2543.3771726135164,7.841248072400312,India,0.8356678485870361,0.10078824311494827,0.1288069635629654,436011.90625,0.0635439082980156,0.1288069635629654,India,0.028707699850201607,-0.04891996085643768,477572.59375,441118.0,0.1061737909913063,0.11700490117073059,4.763899807290334,-0.020212261006236076,1.082641365235606,1.1020130305068523
1958,1094.4715934216779,469676.15625,India,407360.9375,174.0004119873047,1099296.5,1.1368556022644043,1529.8778726211328,0.001180280485418267,7.332943189384298,469676.15625,174.0004119873047,2699.2818631042564,7.90074103998631,India,0.8366703391075134,0.1000375896692276,0.12263745814561844,469676.15625,0.06329207122325897,0.12263745814561844,India,0.023327814415097237,-0.03865939378738403,508665.5,474999.0,0.10957296192646027,0.11707159131765366,4.762899879768716,-0.015331579372286797,1.0708769913199818,1.0684350341485347
1959,1096.6484075643011,479952.0,India,415425.03125,176.64942932128906,1155373.875,1.1353949308395386,1517.0370493323808,0.001108414845294391,7.324514401813901,479952.0,176.64942932128906,2716.9745288396366,7.907274234645429,India,0.8273477554321289,0.10340572148561478,0.12444115430116653,479952.0,0.06924652308225632,0.12444115430116653,India,0.024948302656412125,-0.03692192584276199,511448.0,481827.21875,0.11003223061561584,0.11096753180027008,4.762899879768716,-0.011973623186349869,1.061475940124024,1.0085002474222449
